,ID_SKU_VENTA,DESCR_CENDIST,DELTA
0,515,ANTOFAGASTA,0.33823333920797105
1,515,ARICA,-0.2740618714234835
2,515,CALAMA,-0.9521061389095812
3,515,CASTRO,-0.6169349724118588
4,515,CHILLAN,-1.1207632963553706
5,515,COPIAPO,-0.1714436699498545
6,515,COQUIMBO,-0.28846918758313
7,515,COYHAIQUE,-0.04733750749138263
8,515,ILLAPEL,-0.5078055566659755
9,515,IQUIQUE,0.08745401335692848
10,515,LLAY LLAY,-0.14146931838286966
11,515,LOS ANGELES,-0.37720769035462576
12,515,OSORNO,-1.0542316788759316
13,515,OVALLE,-0.5119492231854674
14,515,PUERTO MONTT,0.1315789645312646
15,515,SANTIAGO SUR,-1.45417582954747
16,515,TALCA,-0.7314098412114332
17,515,TALCAHUANO,-0.19119827628106734
18,515,TEMUCO,-0.37691454537249514
19,515,VALDIVIA,0.6696112892493253
20,592,ANTOFAGASTA,0.22984377540001155
21,592,ARICA,-0.5172884846155235
22,592,CALAMA,-2.68852558540007
23,592,CASTRO,-0.9540196481237881
24,592,CHILLAN,-3.367138943760441
25,592,COPIAPO,-3.816909466958837
26,592,COQUIMBO,-7.642537988056105
27,592,COYHAIQUE,-0.152948789762116
28,592,CURAUMA,-9.313605146118789
29,592,ILLAPEL,-2.1222344278681557
30,592,IQUIQUE,-0.37886114369862156
31,592,LLAY LLAY,-5.068138479272715
32,592,LOS ANGELES,-3.8082819888892843
33,592,OSORNO,-3.5500051024479298
34,592,OVALLE,-3.3758900469564743
35,592,PUERTO MONTT,-2.510378237393148
36,592,RANCAGUA,-5.295749555051369
37,592,SANTIAGO SUR,-18.145579957472265
38,592,TALCA,-8.371095061272833
39,592,TALCAHUANO,-7.794493897606891
40,592,TEMUCO,-5.09730846150287
41,592,VALDIVIA,-2.8261855571990058
42,595,ANTOFAGASTA,0.11387517445095163
43,595,ARICA,-0.6754505501450148
44,595,CALAMA,-1.0444606861517391
45,595,CASTRO,-0.5784177360701266
46,595,CHILLAN,-3.4907718846854783
47,595,COPIAPO,-0.5097728233628755
48,595,COQUIMBO,0.3459541922384357
49,595,COYHAIQUE,-0.6208807817663846
50,595,CURAUMA,1.9594170224811105
51,595,ILLAPEL,-2.0427228276466183
52,595,IQUIQUE,0.13366931650729863
53,595,LLAY LLAY,-4.937787126394418
54,595,LOS ANGELES,-4.429635195295387
55,595,OSORNO,-6.048770276722866
56,595,OVALLE,-3.683037303621295
57,595,PUERTO MONTT,-0.9923021202525835
58,595,RANCAGUA,-6.1594182139795075
59,595,SANTIAGO SUR,2.3992504719100936
60,595,TALCA,-1.2604826689375903
61,595,TALCAHUANO,3.7573223495006616
62,595,TEMUCO,-2.022443252905564
63,595,VALDIVIA,2.76738101758957
64,622,ANTOFAGASTA,-7.59783093041198
65,622,ARICA,-3.626753974575802
66,622,CALAMA,-5.557553965087688
67,622,CASTRO,-4.547629658621354
68,622,CHILLAN,-7.006379911022378
69,622,COPIAPO,-5.227385402303241
70,622,COQUIMBO,-6.482252021692943
71,622,COYHAIQUE,-2.5117422854008105
72,622,CURAUMA,-10.621560419458113
73,622,ILLAPEL,-0.798101747782642
74,622,IQUIQUE,-6.8718928538367265
75,622,LLAY LLAY,-2.9962947131471687
76,622,LOS ANGELES,-3.6553782981766076
77,622,OSORNO,-9.33406790084036
78,622,OVALLE,-2.115691083853074
79,622,PUERTO MONTT,-8.347489377968053
80,622,RANCAGUA,-36.002644077433885
81,622,SANTIAGO SUR,19.225667786953714
82,622,TALCA,-6.055602544039228
83,622,TALCAHUANO,-8.821233438838647
84,622,TEMUCO,-9.110175231320184
85,622,VALDIVIA,-2.0282140524815198
86,763,ANTOFAGASTA,-2.37964216622459
87,763,ARICA,-0.3771558301922715
88,763,CALAMA,-3.4017959608263446
89,763,COPIAPO,-0.013409940620734806
90,763,COQUIMBO,-0.5437018148447486
91,763,CURAUMA,0.36641223859559435
92,763,IQUIQUE,-1.1520502102181913
93,763,LLAY LLAY,-2.2755204376456595
94,763,RANCAGUA,-0.4526410543044843
95,763,SANTIAGO SUR,-1.10701742483195
96,763,TALCAHUANO,-0.03666408525500561
97,765,ANTOFAGASTA,-0.1736237852884459
98,765,ARICA,-0.7236947038269448
99,765,CALAMA,-0.42337716693049643
100,765,CASTRO,-2.73082030125107
