,ID_SKU_VENTA,DESCR_CENDIST,DELTA
154,810,OSORNO,-1.118410998
155,810,OVALLE,-0.729514952
156,810,PUERTO MONTT,0.555073337
157,810,RANCAGUA,-3.432546929
158,810,SANTIAGO SUR,3.028880054
159,810,TALCA,0
160,810,TALCAHUANO,1.519251087
161,810,TEMUCO,2.22E-16
162,810,VALDIVIA,1.004809521
163,816,ANTOFAGASTA,0.651043926
164,816,ARICA,-0.655724385
165,816,CALAMA,-0.833149177
166,816,CASTRO,-0.560688597
167,816,CHILLAN,-1.394359994
168,816,COPIAPO,0
169,816,COQUIMBO,0.335377981
170,816,COYHAIQUE,0
171,816,CURAUMA,1.824254537
172,816,ILLAPEL,-0.352359282
173,816,IQUIQUE,0.543526673
174,816,LLAY LLAY,-1.936911086
175,816,LOS ANGELES,-2.013232293
176,816,OSORNO,-1.040516975
177,816,OVALLE,-0.65593527
178,816,PUERTO MONTT,0.444831728
179,816,RANCAGUA,-2.809554231
180,816,SANTIAGO SUR,2.472584151
181,816,TALCA,-4.44E-16
182,816,TALCAHUANO,2.707551823
183,816,TEMUCO,0
184,816,VALDIVIA,0.884934161
185,817,ANTOFAGASTA,0.077211422
186,817,ARICA,-0.466779586
187,817,CALAMA,-0.161100203
188,817,CASTRO,-0.762587728
189,817,CHILLAN,-8.432420895
190,817,COPIAPO,-4.44E-16
191,817,COQUIMBO,0.654491793
192,817,CURAUMA,8.80384071
193,817,ILLAPEL,-0.423741256
194,817,IQUIQUE,0.389819041
195,817,LLAY LLAY,-8.860552197
196,817,LOS ANGELES,-3.863127907
197,817,OSORNO,-1.201365718
198,817,OVALLE,-0.850827735
199,817,PUERTO MONTT,0.640841914
200,817,RANCAGUA,-4.981159266
201,817,SANTIAGO SUR,4.512825594
202,817,TALCA,7.11E-15
203,817,TALCAHUANO,11.4419151
204,817,TEMUCO,0
205,817,VALDIVIA,0.991316201
206,826,ANTOFAGASTA,0.848501405
207,826,ARICA,-0.984291399
208,826,CALAMA,-1.019389023
209,826,CASTRO,-0.612016511
210,826,CHILLAN,-0.748292903
211,826,COPIAPO,0
212,826,COQUIMBO,0.235254911
213,826,COYHAIQUE,-5.55E-17
214,826,CURAUMA,1.357933296
215,826,ILLAPEL,-0.424275061
216,826,IQUIQUE,0.848846257
217,826,LLAY LLAY,-1.378609163
218,826,LOS ANGELES,-0.692940693
219,826,OSORNO,-0.918736665
220,826,OVALLE,-0.495885428
221,826,PUERTO MONTT,0.488412975
222,826,RANCAGUA,-2.273207367
223,826,SANTIAGO SUR,1.967511063
224,826,TALCA,-4.44E-16
225,826,TALCAHUANO,1.003677634
226,826,TEMUCO,-2.22E-16
227,826,VALDIVIA,0.790878773
228,829,ANTOFAGASTA,0.118785876
229,829,ARICA,-0.88561128
230,829,CALAMA,-0.19666676
231,829,CASTRO,-0.966518559
232,829,CHILLAN,-3.592296242
233,829,COPIAPO,0
234,829,COQUIMBO,0.663341156
235,829,CURAUMA,6.550612265
236,829,ILLAPEL,-0.495065545
237,829,IQUIQUE,0.797746313
238,829,LLAY LLAY,-6.585174778
239,829,LOS ANGELES,-1.278559432
240,829,OSORNO,-1.305895613
241,829,OVALLE,-0.834146434
242,829,PUERTO MONTT,0.850076427
243,829,RANCAGUA,-4.025688601
244,829,SANTIAGO SUR,3.656015794
245,829,TALCA,-1.78E-15
246,829,TALCAHUANO,4.390205557
247,829,TEMUCO,0
248,829,VALDIVIA,1.127505994
249,833,ANTOFAGASTA,0.029066906
250,833,ARICA,-0.102366937
251,833,CALAMA,-0.076925844
252,833,CASTRO,-0.871755805
253,833,CHILLAN,-2.404794224
254,833,COPIAPO,0
255,833,COQUIMBO,0.100389224
256,833,CURAUMA,1.641774742
257,833,ILLAPEL,-0.129822423
258,833,IQUIQUE,0.05490924
259,833,LLAY LLAY,-1.814539132
260,833,LOS ANGELES,-1.723892829
261,833,OSORNO,-1.211700093
262,833,OVALLE,-0.174623754
263,833,PUERTO MONTT,0.739497432
264,833,RANCAGUA,-1.595699063
265,833,SANTIAGO SUR,1.378501393
266,833,TALCA,8.88E-16
267,833,TALCAHUANO,3.559313841
268,833,TEMUCO,4.44E-16
269,833,VALDIVIA,1.050339713
270,856,ANTOFAGASTA,0.418143343
271,856,ARICA,-0.416329959
272,856,CALAMA,-0.556702592
273,856,CASTRO,-0.588737461
274,856,CHILLAN,-1.310920541
275,856,COPIAPO,0
276,856,COQUIMBO,0.186392055
277,856,COYHAIQUE,5.55E-17
278,856,CURAUMA,1.090810188
279,856,ILLAPEL,-0.26309472
280,856,IQUIQUE,0.284041493
281,856,LLAY LLAY,-1.188733433
282,856,LOS ANGELES,-1.265478082
283,856,OSORNO,-0.848407493
284,856,OVALLE,-0.394603062
285,856,PUERTO MONTT,0.466991901
286,856,RANCAGUA,-2.318622069
287,856,SANTIAGO SUR,2.052073289
