,ID_SKU_VENTA,DESCR_CENDIST,DELTA
155,810,OVALLE,-0.909563029409886
156,810,PUERTO MONTT,0.0
157,810,RANCAGUA,0.0
158,810,SANTIAGO SUR,0.0
159,810,TALCA,0.0
160,810,TALCAHUANO,1.0298151638744266
161,810,TEMUCO,0.0
162,810,VALDIVIA,1.3994008675319825
163,816,ANTOFAGASTA,0.9296977721999728
164,816,ARICA,0.0
165,816,CALAMA,-1.111803023380511
166,816,CASTRO,-0.724582828142851
167,816,CHILLAN,0.0
168,816,COPIAPO,0.0
169,816,COQUIMBO,0.49742124988522174
170,816,COYHAIQUE,0.0
171,816,CURAUMA,0.2777035096298137
172,816,ILLAPEL,-0.4364938970633737
173,816,IQUIQUE,0.0
174,816,LLAY LLAY,0.0
175,816,LOS ANGELES,-2.6651072929976545
176,816,OSORNO,-1.4053246668376234
177,816,OVALLE,-0.8179785392893613
178,816,PUERTO MONTT,0.6087259592593299
179,816,RANCAGUA,0.0
180,816,SANTIAGO SUR,0.0
181,816,TALCA,0.0
182,816,TALCAHUANO,2.221729650215245
183,816,TEMUCO,0.0
184,816,VALDIVIA,1.2497418533255558
185,817,ANTOFAGASTA,0.11275829708475582
186,817,ARICA,0.0
187,817,CALAMA,-0.1966470775892071
188,817,CASTRO,0.0
189,817,CHILLAN,0.0
190,817,COPIAPO,0.0
191,817,COQUIMBO,0.0
192,817,CURAUMA,0.0
193,817,ILLAPEL,0.0
194,817,IQUIQUE,0.0
195,817,LLAY LLAY,0.0
196,817,LOS ANGELES,0.0
197,817,OSORNO,0.0
198,817,OVALLE,0.0
199,817,PUERTO MONTT,0.0
200,817,RANCAGUA,0.0
201,817,SANTIAGO SUR,0.0
202,817,TALCA,0.0
203,817,TALCAHUANO,0.0
204,817,TEMUCO,0.0
205,817,VALDIVIA,0.0
206,826,ANTOFAGASTA,0.0
207,826,ARICA,0.0
208,826,CALAMA,0.0
209,826,CASTRO,-0.7841559340353103
210,826,CHILLAN,-0.9865621333021329
211,826,COPIAPO,0.0
212,826,COQUIMBO,0.34715394969409874
213,826,COYHAIQUE,0.0
214,826,CURAUMA,1.940817911529273
215,826,ILLAPEL,-0.5193471759048925
216,826,IQUIQUE,0.0
217,826,LLAY LLAY,-1.8664216628460624
218,826,LOS ANGELES,-0.8889743470353015
219,826,OSORNO,-1.243496280103167
220,826,OVALLE,-0.6077844663888899
221,826,PUERTO MONTT,0.6605523982628057
222,826,RANCAGUA,-3.0768612128537898
223,826,SANTIAGO SUR,2.771164908726645
224,826,TALCA,0.0
225,826,TALCAHUANO,1.4379805183428678
226,826,TEMUCO,0.0
227,826,VALDIVIA,1.115638388833317
228,829,ANTOFAGASTA,0.17389404917265594
229,829,ARICA,0.0
230,829,CALAMA,-0.2517749335499631
231,829,CASTRO,0.0
232,829,CHILLAN,0.0
233,829,COPIAPO,0.0
234,829,COQUIMBO,0.0
235,829,CURAUMA,0.0
236,829,ILLAPEL,0.0
237,829,IQUIQUE,0.0
238,829,LLAY LLAY,0.0
239,829,LOS ANGELES,0.0
240,829,OSORNO,0.0
241,829,OVALLE,0.0
242,829,PUERTO MONTT,0.0
243,829,RANCAGUA,0.0
244,829,SANTIAGO SUR,0.0
245,829,TALCA,0.0
246,829,TALCAHUANO,0.0
247,829,TEMUCO,0.0
248,829,VALDIVIA,0.0
249,833,ANTOFAGASTA,0.0376907039134719
250,833,ARICA,-0.11666982207871825
251,833,CALAMA,-0.08554964246827329
252,833,CASTRO,0.0
253,833,CHILLAN,0.0
254,833,COPIAPO,0.0
255,833,COQUIMBO,0.14245653149606374
256,833,CURAUMA,0.08675188058457461
257,833,ILLAPEL,-0.15485247095901092
258,833,IQUIQUE,0.06921212412545685
259,833,LLAY LLAY,0.0
260,833,LOS ANGELES,0.0
261,833,OSORNO,0.0
262,833,OVALLE,-0.21669106145157874
263,833,PUERTO MONTT,0.0
264,833,RANCAGUA,0.0
265,833,SANTIAGO SUR,0.0
266,833,TALCA,0.0
267,833,TALCAHUANO,0.0
268,833,TEMUCO,0.0
269,833,VALDIVIA,0.0
270,856,ANTOFAGASTA,0.6077827662905776
271,856,ARICA,0.0
272,856,CALAMA,-0.7463420147451795
273,856,CASTRO,-0.7558288075158963
274,856,CHILLAN,0.0
275,856,COPIAPO,0.0
276,856,COQUIMBO,0.2725459012132603
277,856,COYHAIQUE,0.0
278,856,CURAUMA,1.575257303430126
279,856,ILLAPEL,-0.32333510455735537
280,856,IQUIQUE,0.0
281,856,LLAY LLAY,-1.6129401637246474
282,856,LOS ANGELES,0.0
283,856,OSORNO,0.0
284,856,OVALLE,-0.4807569084635888
285,856,PUERTO MONTT,0.6340832474919897
286,856,RANCAGUA,-3.1453288000330484
287,856,SANTIAGO SUR,2.87878002024582
288,856,TALCA,0.0
289,856,TALCAHUANO,0.0
290,856,TEMUCO,0.0
291,856,VALDIVIA,0.0
292,859,ANTOFAGASTA,0.09565040899633548
293,859,ARICA,-0.31411088806273085
294,859,CALAMA,-0.16244430147066333
295,859,CASTRO,0.0
296,859,CHILLAN,0.0
297,859,COPIAPO,0.0
298,859,COQUIMBO,0.0
299,859,CURAUMA,0.0
300,859,ILLAPEL,0.0
301,859,IQUIQUE,0.22751722739373786
302,859,LLAY LLAY,0.0
303,859,LOS ANGELES,0.0
304,859,OSORNO,0.0
305,859,OVALLE,0.0
306,859,PUERTO MONTT,0.0
307,859,RANCAGUA,0.0
308,859,SANTIAGO SUR,0.0
309,859,TALCA,0.0
310,859,TALCAHUANO,0.0
311,859,TEMUCO,0.0
312,859,VALDIVIA,0.0
313,905,ANTOFAGASTA,0.6730007305649024
314,905,ARICA,0.0
315,905,CALAMA,-0.8772381151577999
316,905,CASTRO,-0.930251752062898
317,905,CHILLAN,-2.3893084786574272
318,905,COPIAPO,0.0
319,905,COQUIMBO,0.8286060167629516
320,905,COYHAIQUE,0.0
321,905,CURAUMA,3.847525866177474
322,905,ILLAPEL,-0.4145363918924206
323,905,IQUIQUE,0.0
324,905,LLAY LLAY,-3.9957164343845495
325,905,LOS ANGELES,-2.088132967910497
